Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type
900.0,2,2.0,Furnished,Lajpat Nagar 2,2.0,12500000,Ready_to_move,Resale,Builder_Floor
800.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,14500000,Ready_to_move,New_Property,Builder_Floor
1100.0,2,3.0,Semi-Furnished,Lajpat Nagar 2,1.0,22500000,Ready_to_move,New_Property,Builder_Floor
810.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,1.0,15500000,Ready_to_move,New_Property,Builder_Floor
1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,1.0,26000000,Ready_to_move,New_Property,Builder_Floor
825.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,15000000,Ready_to_move,New_Property,Builder_Floor
900.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,13000000,Ready_to_move,New_Property,Builder_Floor
875.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,15000000,Ready_to_move,New_Property,Builder_Floor
1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,1.0,25000000,Ready_to_move,New_Property,Builder_Floor
750.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,1.0,16500000,Ready_to_move,New_Property,Builder_Floor
900.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,10300000,Ready_to_move,New_Property,Builder_Floor
1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,1.0,26000000,Ready_to_move,New_Property,Builder_Floor
900.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,11000000,Ready_to_move,Resale,Builder_Floor
1800.0,3,3.0,Unfurnished,Lajpat Nagar 2,1.0,28500000,Ready_to_move,New_Property,Builder_Floor
900.0,2,1.0,Furnished,Budh Vihar,1.0,11000000,Ready_to_move,Resale,Apartment
810.0,3,2.0,Semi-Furnished,Budh Vihar,1.0,4500000,Ready_to_move,Resale,Builder_Floor
450.0,2,1.0,Unfurnished,Budh Vihar,1.0,3600000,Ready_to_move,Resale,Builder_Floor
100.0,3,2.0,Furnished,Budh Vihar Phase 1,1.0,4300000,Ready_to_move,New_Property,Builder_Floor
900.0,3,2.0,Semi-Furnished,Budh Vihar,1.0,4000000,Ready_to_move,Resale,Builder_Floor
500.0,2,2.0,Semi-Furnished,Budh Vihar Phase 1,1.0,1650000,Ready_to_move,Resale,Apartment
450.0,1,1.0,Furnished,Budh Vihar,1.0,2000000,Ready_to_move,Resale,Builder_Floor
75.0,2,2.0,Semi-Furnished,Budh Vihar,1.0,3000000,Ready_to_move,Resale,Builder_Floor
270.0,2,1.0,Semi-Furnished,Budh Vihar Phase 1,1.0,1400000,Ready_to_move,Resale,Apartment
500.0,2,1.0,Semi-Furnished,Budh Vihar Phase 1,1.0,2000000,Ready_to_move,Resale,Builder_Floor
444.0,2,2.0,Unfurnished,Budh Vihar Phase 1,1.0,2000000,Ready_to_move,Resale,Apartment
400.0,1,1.0,Furnished,Budh Vihar,1.0,2000000,Ready_to_move,Resale,Builder_Floor
729.0,3,4.0,Furnished,Budh Vihar,1.0,2600000,Ready_to_move,Resale,Builder_Floor
4050.0,6,3.0,Furnished,Budh Vihar Phase 1,1.0,5100000,Ready_to_move,Resale,Builder_Floor
2400.0,6,4.0,Furnished,Budh Vihar Phase 2,1.0,6000000,Ready_to_move,Resale,Builder_Floor
450.0,2,2.0,Furnished,Budh Vihar,1.0,4000000,Ready_to_move,Resale,Builder_Floor
405.0,2,3.0,Furnished,Budh Vihar Phase 2,1.0,6200000,Ready_to_move,Resale,Builder_Floor
666.0,1,2.0,Furnished,Budh Vihar Phase 1,1.0,3500000,Ready_to_move,Resale,Builder_Floor
